names,urls,dates,conversion
"Acosta, Lucas",www.newssite.com/9,2018-12-04,0
"Acosta, Shelby",www.newssite.com/9,2019-02-19,0
"Acosta, Shelby",www.newssite.com/7,2019-01-14,0
"Acres, Cody",www.newssite.com/10,2019-02-01,0
"Acres, Cody",www.newssite.com/9,2019-01-31,0
"Acres, Cody",www.newssite.com/5,2018-12-18,0
"Acres, Cody",www.newssite.com/8,2018-11-28,0
"Adair, Alejandro",www.newssite.com/8,2019-02-16,0
"Adams, Jedeo",www.newssite.com/10,2018-12-04,1
"Adams, Jedeo",www.newssite.com/7,2018-12-01,0
"Adams, Nhi",www.newssite.com/5,2019-02-07,0
"Adams, Shauntino",www.newssite.com/6,2018-12-31,0
"Adams, Therese",www.newssite.com/3,2019-02-11,0
"Adams, Therese",www.newssite.com/5,2018-12-23,0
"Adan, Vinette",www.newssite.com/8,2019-02-06,0
"Adan, Vinette",www.newssite.com/9,2019-01-19,0
"Adan, Vinette",www.newssite.com/7,2018-11-29,0
"Adane, Daeshavon",www.newssite.com/10,2019-02-20,0
"Adolph, Cayla",www.newssite.com/5,2018-12-23,0
"Adu, Ashia",www.newssite.com/7,2018-12-23,0
"Aebischer, Savannah",www.newssite.com/10,2019-02-03,0
"Agan, Nohelia",www.newssite.com/10,2018-12-13,0
"Agbim, Sara",www.newssite.com/6,2019-01-30,0
"Agbim, Sara",www.newssite.com/4,2018-12-21,0
"Agboglo, Bria",www.newssite.com/10,2019-02-18,0
"Agboglo, Bria",www.newssite.com/3,2018-12-19,0
"Aghi, Anthony",www.newssite.com/9,2018-12-05,0
"Aghi, Anthony",www.newssite.com/6,2018-11-24,0
"Agosto, Maria",www.newssite.com/8,2019-02-19,0
"Agosto, Maria",www.newssite.com/8,2019-01-04,0
"Agosto, Maria",www.newssite.com/7,2018-12-15,0
"Aguilar, David",www.newssite.com/4,2018-12-24,0
"Aguilar, Eleazar",www.newssite.com/9,2019-01-27,0
"Aguilar, Jessie",www.newssite.com/2,2019-01-26,0
"Aguilar, Jessie",www.newssite.com/5,2019-01-14,0
"Aguilar, Jessie",www.newssite.com/8,2018-11-25,0
"Aguilar, Kara",www.newssite.com/9,2019-02-03,0
"Aguilera, Jacob",www.newssite.com/4,2019-02-03,0
"Aguilera, Jacob",www.newssite.com/5,2018-12-05,0
"Aguilera, Pablo",www.newssite.com/7,2019-02-05,0
"Aguilera, Pablo",www.newssite.com/4,2019-01-13,0
"Aguirre, Hayes",www.newssite.com/2,2019-02-21,0
"Ahmed, Kayla",www.newssite.com/5,2019-02-16,1
"Ahmed, Phaylinh",www.newssite.com/6,2019-01-26,0
"Ahrens, Ashley",www.newssite.com/5,2019-01-27,0
"Akquia, Jasmine",www.newssite.com/7,2019-01-22,0
"Akquia, Jasmine",www.newssite.com/9,2018-12-21,0
"Akquia, Kai",www.newssite.com/7,2019-02-07,0
"Akquia, Kai",www.newssite.com/6,2019-01-13,0
"Akquia, Kai",www.newssite.com/8,2018-12-24,0
"Al Amin, Alice",www.newssite.com/9,2019-01-11,0
"Al Amin, Alice",www.newssite.com/8,2018-12-17,0
"al-Abbas, Mayyaada",www.newssite.com/7,2019-02-14,0
"al-Abbas, Mayyaada",www.newssite.com/9,2018-12-17,0
"al-Abbas, Mayyaada",www.newssite.com/3,2018-11-26,0
"al-Abdella, Luwai",www.newssite.com/10,2018-12-08,0
"al-Abdella, Zaaid",www.newssite.com/10,2019-01-17,0
"al-Abdella, Zaaid",www.newssite.com/8,2019-01-04,0
"al-Abdella, Zaaid",www.newssite.com/7,2019-01-02,0
"al-Abdelrahman, Jawaad",www.newssite.com/10,2018-12-07,0
"al-Abdoo, Himma",www.newssite.com/10,2018-11-25,0
"al-Abdou, Fakeeha",www.newssite.com/5,2019-02-09,0
"al-Abdou, Isaam",www.newssite.com/9,2019-02-15,0
"al-Abdou, Isaam",www.newssite.com/9,2019-01-12,0
"al-Abdou, Jubair",www.newssite.com/10,2019-02-20,0
"al-Abdou, Jubair",www.newssite.com/8,2018-12-27,0
"al-Abdou, Jubair",www.newssite.com/6,2018-11-26,0
"al-Abdou, Sitaara",www.newssite.com/7,2018-12-19,0
"al-Abdou, Sitaara",www.newssite.com/6,2018-12-16,0
"al-Abdul, Kabeer",www.newssite.com/6,2019-02-04,0
"al-Abdul, Kabeer",www.newssite.com/8,2019-01-12,0
"al-Abdulla, Azmi",www.newssite.com/10,2019-01-10,0
"al-Abdulla, Azmi",www.newssite.com/10,2018-12-07,0
"al-Abdulla, Azmi",www.newssite.com/8,2018-11-30,0
"al-Abed, Shakeela",www.newssite.com/3,2019-01-27,0
"al-Abid, Badri",www.newssite.com/10,2019-02-21,0
"al-Abood, Rabdaa",www.newssite.com/2,2019-01-16,0
"al-Abood, Rabdaa",www.newssite.com/9,2019-01-05,0
"al-Aboud, Maisara",www.newssite.com/6,2018-12-18,0
"al-Abu, Tameema",www.newssite.com/8,2019-01-28,0
"al-Abu, Tameema",www.newssite.com/6,2019-01-02,0
"al-Abu, Tameema",www.newssite.com/9,2018-12-05,0
"al-Ahmad, Abdul Waahid",www.newssite.com/6,2019-01-01,0
"al-Ahmad, Abdul Waahid",www.newssite.com/9,2018-12-31,0
"al-Ahmadi, Tulaiha",www.newssite.com/3,2019-01-20,1
"al-Ahmed, Ghassaan",www.newssite.com/6,2019-01-14,0
"al-Ahmed, Tayyib",www.newssite.com/10,2018-12-31,0
"al-Ahsan, Shafaaa",www.newssite.com/10,2019-01-26,1
"al-Ahsan, Shafaaa",www.newssite.com/10,2019-01-09,0
"al-Ahsan, Tharwa",www.newssite.com/6,2019-01-03,0
"al-Akbar, Hawraa",www.newssite.com/5,2019-01-27,0
"al-Akbari, Aarif",www.newssite.com/9,2018-12-12,0
"al-Akbari, Sahar",www.newssite.com/6,2019-01-18,0
"al-Akbari, Sahar",www.newssite.com/6,2019-01-18,0
"al-Akel, Jannat",www.newssite.com/6,2019-01-28,0
"al-Akhtar, Hamad",www.newssite.com/6,2019-02-02,1
"al-Akhtar, Waleed",www.newssite.com/10,2019-02-20,0
"al-Akram, Nawaar",www.newssite.com/7,2018-11-29,0
"al-Alam, Mahmooda",www.newssite.com/4,2019-02-13,0
"al-Alam, Zuhra",www.newssite.com/5,2018-12-06,0
"al-Ali, Shahaama",www.newssite.com/8,2019-01-26,0
"al-Allam, Ma,Roof",www.newssite.com/2,2018-11-23,0
"al-Allam, Shakeela",www.newssite.com/1,2019-02-19,0
"al-Allee, Naqaa",www.newssite.com/7,2019-01-05,0
"al-Allee, Naqaa",www.newssite.com/7,2018-12-19,0
"al-Allee, Naqaa",www.newssite.com/5,2018-12-17,0
"al-Allee, Ulyaa",www.newssite.com/10,2018-12-13,0
"al-Allee, Zaahira",www.newssite.com/10,2019-02-19,0
"al-Aman, Adhraaa",www.newssite.com/10,2019-02-20,0
"al-Amara, Tareefa",www.newssite.com/7,2019-01-01,0
"al-Amber, Sajaa",www.newssite.com/4,2019-02-08,0
"al-Ameen, Hamaama",www.newssite.com/5,2018-12-16,0
"al-Ameen, Uwais",www.newssite.com/5,2019-01-12,0
"al-Amen, Aamir",www.newssite.com/8,2019-01-18,0
"al-Amen, Husain",www.newssite.com/4,2019-01-05,0
"al-Amen, Husain",www.newssite.com/8,2018-12-10,0
"al-Amini, Salma",www.newssite.com/8,2018-11-25,0
"al-Amir, Fayyaad",www.newssite.com/5,2018-12-01,0
"al-Amiri, Aadam",www.newssite.com/9,2019-02-11,1
"al-Amiri, Aadam",www.newssite.com/7,2019-01-17,0
"al-Amiri, Razeena",www.newssite.com/8,2019-02-19,0
"al-Ammar, Muneefa",www.newssite.com/9,2019-02-09,0
"al-Ansari, Hilmiyya",www.newssite.com/9,2019-01-22,0
"al-Anwar, Musaddiq",www.newssite.com/10,2019-02-06,0
"al-Anwar, Shihaab",www.newssite.com/7,2018-11-23,0
"al-Arafat, Hiba",www.newssite.com/6,2019-01-10,1
"al-Arif, Abdul Kareem",www.newssite.com/10,2018-12-30,0
"al-Arif, Abdul Kareem",www.newssite.com/5,2018-12-20,0
"al-Arif, Mujaahida",www.newssite.com/5,2018-12-14,0
"al-Arshad, Fikriyya",www.newssite.com/5,2019-02-01,0
"al-Arshad, Nameera",www.newssite.com/4,2019-02-14,0
"al-Asad, Raita",www.newssite.com/9,2019-02-05,0
"al-Aslam, Khaleefa",www.newssite.com/4,2019-01-22,0
"al-Assad, Fat'hiyaa",www.newssite.com/9,2019-02-15,0
"al-Assad, Fat'hiyaa",www.newssite.com/8,2019-02-13,0
"al-Assad, Fat'hiyaa",www.newssite.com/10,2018-12-24,0
"al-Assad, Fat'hiyaa",www.newssite.com/7,2018-12-04,0
"al-Assad, Fat'hiyaa",www.newssite.com/6,2018-11-25,0
"al-Assad, Raabia",www.newssite.com/8,2018-12-11,0
"al-Assad, Raabia",www.newssite.com/9,2018-11-30,0
"al-Atallah, Ilhaam",www.newssite.com/10,2019-01-13,0
"al-Atallah, Ilhaam",www.newssite.com/2,2019-01-10,0
"al-Atallah, Ilhaam",www.newssite.com/8,2019-01-09,0
"al-Ayub, Hadiyya",www.newssite.com/3,2018-12-20,0
"al-Ayub, Hadiyya",www.newssite.com/8,2018-12-01,0
"al-Ayub, Subhi",www.newssite.com/4,2018-12-09,0
"al-Azad, Nizaar",www.newssite.com/4,2019-02-07,0
"al-Azad, Nizaar",www.newssite.com/3,2019-01-02,0
"al-Azer, Nadiyya",www.newssite.com/7,2019-02-21,0
"al-Azer, Nadiyya",www.newssite.com/7,2019-01-23,0
"al-Azer, Nadiyya",www.newssite.com/6,2018-12-24,0
"al-Azimi, Saafiyya",www.newssite.com/7,2019-01-25,0
"al-Azimi, Suhaa",www.newssite.com/10,2018-12-19,0
"al-Azimi, Suhaa",www.newssite.com/4,2018-11-25,0
"al-Azimi, Suhaa",www.newssite.com/1,2018-11-24,0
"al-Aziz, Khaleela",www.newssite.com/5,2019-01-22,0
"al-Aziz, Khaleela",www.newssite.com/8,2018-11-26,0
"al-Azzam, Manaahil",www.newssite.com/7,2018-12-13,0
"al-Bacchus, Baahir",www.newssite.com/10,2018-11-25,0
"al-Baccus, Rajab",www.newssite.com/9,2018-12-15,0
"al-Bacho, Faalih",www.newssite.com/5,2018-12-20,0
"al-Bacho, Faalih",www.newssite.com/7,2018-12-02,0
"al-Baddour, Aanisa",www.newssite.com/10,2019-01-19,0
"al-Baddour, Aanisa",www.newssite.com/5,2019-01-06,0
"al-Baddour, Aanisa",www.newssite.com/10,2018-12-04,0
"al-Badie, Najeeba",www.newssite.com/1,2019-02-09,0
"al-Badie, Najeeba",www.newssite.com/6,2019-02-03,0
"al-Badie, Najeeba",www.newssite.com/8,2019-01-17,0
"al-Badour, Shihaab",www.newssite.com/10,2019-01-29,0
"al-Badour, Shihaab",www.newssite.com/6,2019-01-18,0
"al-Bahri, Aamina",www.newssite.com/7,2018-12-10,0
"al-Bahri, Sultana",www.newssite.com/5,2019-02-21,0
"al-Bahri, Sultana",www.newssite.com/5,2018-12-13,0
"al-Baig, Jiyaad",www.newssite.com/8,2019-02-21,0
"al-Baksh, Ghaazi",www.newssite.com/6,2019-02-19,0
"al-Baksh, Ghaazi",www.newssite.com/8,2019-02-04,0
"al-Baksh, Zumruda",www.newssite.com/7,2019-02-13,0
"al-Bashara, Yaasmeen",www.newssite.com/10,2019-01-07,0
"al-Basher, Tawfeeq",www.newssite.com/6,2018-12-20,0
"al-Bashir, Abdul Jabbaar",www.newssite.com/6,2019-01-08,0
"al-Bashir, Abdul Jabbaar",www.newssite.com/5,2019-01-01,0
"al-Bashir, Abdul Jabbaar",www.newssite.com/7,2018-12-08,0
"al-Bashir, Raabia",www.newssite.com/9,2019-01-24,0
"al-Begum, Husniyya",www.newssite.com/10,2019-01-30,0
"al-Begum, Irfaan",www.newssite.com/10,2019-02-15,0
"al-Begum, Irfaan",www.newssite.com/9,2019-01-01,0
"al-Begum, Irfaan",www.newssite.com/10,2018-12-05,0
"al-Begum, Irfaan",www.newssite.com/9,2018-12-01,0
"al-Beshara, Ghaidaa",www.newssite.com/8,2018-11-30,0
"al-Beshara, Muntaha",www.newssite.com/7,2018-12-06,0
"al-Burki, Shadhaa",www.newssite.com/9,2019-02-21,0
"al-Burki, Shadhaa",www.newssite.com/10,2018-12-17,0
"al-Burki, Shadhaa",www.newssite.com/2,2018-11-30,0
"al-Chahine, Shaafia",www.newssite.com/9,2019-02-08,0
"al-Dada, Adham",www.newssite.com/5,2018-12-01,0
"al-Dada, Nassaar",www.newssite.com/4,2019-02-07,0
"al-Dajani, Zaaid",www.newssite.com/2,2018-12-31,0
"al-Dallal, Waail",www.newssite.com/5,2018-12-09,0
"al-Dallal, Waail",www.newssite.com/7,2018-12-07,0
"al-Daoud, Hazm",www.newssite.com/6,2018-12-07,0
"al-Darwish, Jaadallah",www.newssite.com/8,2019-01-29,0
"al-Darwish, Tuhfa",www.newssite.com/8,2018-12-24,0
"al-Dawood, Hawraa",www.newssite.com/9,2018-12-18,0
"al-Dawood, Hilmiyya",www.newssite.com/8,2019-01-15,0
"al-Demian, Awda",www.newssite.com/9,2019-01-16,0
"al-Demian, Mufeeda",www.newssite.com/9,2019-02-04,0
"al-Demian, Mufeeda",www.newssite.com/7,2019-01-17,0
"al-Demian, Mufeeda",www.newssite.com/8,2018-12-09,0
"al-Dia, Musaddiq",www.newssite.com/10,2019-02-20,0
"al-Dia, Musaddiq",www.newssite.com/10,2018-12-14,0
"al-Dia, Sumaita",www.newssite.com/8,2019-01-28,0
"al-Dia, Sumaita",www.newssite.com/2,2019-01-10,0
"al-Dia, Sumaita",www.newssite.com/3,2018-12-01,0
"al-Diab, Azeema",www.newssite.com/7,2018-12-11,0
"al-Diab, Kabeer",www.newssite.com/6,2019-01-28,1
"al-Diab, Kabeer",www.newssite.com/5,2019-01-17,0
"al-Diab, Muneef",www.newssite.com/6,2019-02-18,0
"al-Dib, Hanaan",www.newssite.com/6,2019-02-10,1
"al-Dib, Hanaan",www.newssite.com/6,2019-01-31,0
"al-Dib, Kameel",www.newssite.com/10,2019-02-06,0
"al-Din, Maisara",www.newssite.com/9,2019-02-03,0
"al-Din, Nafeesa",www.newssite.com/5,2018-12-29,0
"al-Din, Rashaad",www.newssite.com/8,2019-02-21,0
"al-Din, Rashaad",www.newssite.com/10,2018-12-04,0
"al-Ebrahimi, Hadeel",www.newssite.com/4,2019-02-10,0
"al-Ebrahimi, Mazeed",www.newssite.com/8,2018-12-26,0
"al-Edris, Mumtaaza",www.newssite.com/8,2019-01-21,0
"al-Eid, Abdul Wahaab",www.newssite.com/2,2019-01-13,0
"al-Eid, Abdul Wahaab",www.newssite.com/4,2018-11-30,0
"al-El-Sayed, Abdur Rahmaan",www.newssite.com/8,2018-12-20,0
"al-El-Sayed, Abdur Rahmaan",www.newssite.com/7,2018-12-15,0
"al-Fahmy, Saabir",www.newssite.com/9,2019-02-15,0
"al-Farag, Waseema",www.newssite.com/9,2019-02-20,0
"al-Farag, Waseema",www.newssite.com/5,2019-02-12,0
"al-Farag, Widdad",www.newssite.com/8,2018-12-11,0
"al-Fares, Zarqaa",www.newssite.com/5,2019-02-20,1
"al-Fares, Zarqaa",www.newssite.com/10,2019-01-03,0
"al-Farid, Zayyaan",www.newssite.com/6,2018-12-19,0
"al-Faris, Aakif",www.newssite.com/6,2019-02-20,0
"al-Faris, Aakif",www.newssite.com/10,2018-11-30,0
"al-Faris, Katheer",www.newssite.com/10,2018-12-10,0
"al-Farman, Nameera",www.newssite.com/8,2019-02-01,0
"al-Farman, Nameera",www.newssite.com/5,2018-12-02,0
"al-Farooq, Abdul Qayyoom",www.newssite.com/8,2019-01-26,0
"al-Farooq, Abdul Qayyoom",www.newssite.com/6,2018-12-20,0
"al-Farra, Fawwaaz",www.newssite.com/7,2019-02-17,0
"al-Farra, Shamaail",www.newssite.com/6,2018-12-19,0
"al-Farran, Bassaam",www.newssite.com/10,2019-02-05,0
"al-Fawaz, Mawhiba",www.newssite.com/9,2019-02-03,0
"al-Fawaz, Mawhiba",www.newssite.com/6,2019-01-24,0
"al-Fawaz, Mawhiba",www.newssite.com/10,2019-01-08,0
"al-Fawaz, Mawhiba",www.newssite.com/10,2018-12-15,0
"al-Fawaz, Mawhiba",www.newssite.com/7,2018-12-01,0
"al-Firman, Jaasim",www.newssite.com/10,2019-01-21,0
"al-Firman, Junaid",www.newssite.com/8,2019-02-18,1
"al-Firman, Junaid",www.newssite.com/7,2019-02-02,0
"al-Firman, Junaid",www.newssite.com/10,2019-01-11,0
"al-Firman, Junaid",www.newssite.com/8,2018-12-07,0
"al-Galla, Mubaaraka",www.newssite.com/8,2019-02-16,0
"al-Galla, Mubaaraka",www.newssite.com/4,2018-12-04,0
"al-Ghani, Turfa",www.newssite.com/5,2018-12-30,0
"al-Ghattas, Hilmi",www.newssite.com/9,2018-12-14,0
"al-Ghazi, Abdus Salam",www.newssite.com/7,2018-12-31,0
"al-Ghazi, Anwar",www.newssite.com/3,2019-01-24,0
"al-Guler, Haaniya",www.newssite.com/10,2019-02-11,1
"al-Habeeb, Abdul Wahaab",www.newssite.com/7,2019-01-19,0
"al-Habeeb, Abdul Wahaab",www.newssite.com/8,2019-01-10,0
"al-Habeeb, Abdul Wahaab",www.newssite.com/5,2019-01-10,0
"al-Habib, Ameer",www.newssite.com/8,2019-02-13,0
"al-Habib, Muneeb",www.newssite.com/5,2018-12-13,0
"al-Hadi, Arshad",www.newssite.com/10,2019-02-07,0
"al-Hafeez, Sabeeha",www.newssite.com/8,2019-02-05,0
"al-Hafeez, Sabeeha",www.newssite.com/10,2018-12-31,0
"al-Hafeez, Sabeeha",www.newssite.com/3,2018-12-24,0
"al-Hafeez, Sabeeha",www.newssite.com/4,2018-12-14,0
"al-Hai, Iffat",www.newssite.com/9,2019-02-17,0
"al-Hai, Iffat",www.newssite.com/5,2019-02-03,0
"al-Hai, Iffat",www.newssite.com/10,2019-01-12,0
"al-Hai, Maajid",www.newssite.com/5,2019-01-27,0
"al-Hai, Maajid",www.newssite.com/2,2019-01-07,0
"al-Hai, Maajid",www.newssite.com/9,2019-01-05,0
"al-Haidar, Uwais",www.newssite.com/8,2019-02-06,0
"al-Haidar, Uwais",www.newssite.com/6,2019-01-10,0
"al-Haidar, Uwais",www.newssite.com/7,2018-11-24,0
"al-Halim, Ghazaala",www.newssite.com/7,2019-01-19,1
"al-Halim, Ghazaala",www.newssite.com/10,2019-01-03,0
"al-Halim, Tayyiba",www.newssite.com/10,2019-02-19,1
"al-Halim, Tayyiba",www.newssite.com/10,2019-02-01,0
"al-Halim, Tayyiba",www.newssite.com/5,2018-11-26,0
"al-Hamad, Jamaal",www.newssite.com/10,2018-12-30,0
"al-Hamady, Nameera",www.newssite.com/4,2019-02-07,1
"al-Hamady, Nameera",www.newssite.com/10,2019-01-23,0
"al-Hamady, Nameera",www.newssite.com/9,2019-01-06,0
"al-Hamdan, Maa'iz",www.newssite.com/10,2019-02-17,1
"al-Hamdan, Maa'iz",www.newssite.com/6,2018-12-27,0
"al-Hamdan, Maa'iz",www.newssite.com/9,2018-12-04,0
"al-Hameed, Numair",www.newssite.com/5,2018-12-06,0
"al-Hameed, Numair",www.newssite.com/7,2018-12-04,0
"al-Hamid, Asmaa",www.newssite.com/7,2018-11-30,0
"al-Hamidi, Ameena",www.newssite.com/8,2018-12-19,0
"al-Hamidi, Shaheer",www.newssite.com/6,2018-12-30,0
"al-Hammad, Umair",www.newssite.com/9,2019-01-31,0
"al-Hammad, Umair",www.newssite.com/6,2018-12-02,0
"al-Hammoud, Luqmaan",www.newssite.com/10,2019-01-02,0
"al-Hammoud, Luqmaan",www.newssite.com/10,2018-12-15,0
"al-Hanif, Hilmi",www.newssite.com/7,2019-02-05,1
"al-Hanif, Hilmi",www.newssite.com/5,2019-01-04,0
"al-Hanif, Hilmi",www.newssite.com/5,2018-12-26,0
"al-Hanif, Hilmi",www.newssite.com/2,2018-12-24,0
"al-Hanif, Hilmi",www.newssite.com/7,2018-12-18,0
"al-Hanif, Labeeb",www.newssite.com/10,2019-02-17,0
"al-Hanif, Labeeb",www.newssite.com/9,2019-01-03,0
"al-Hannan, Sidqi",www.newssite.com/5,2019-01-30,0
"al-Hannan, Sidqi",www.newssite.com/2,2019-01-21,0
"al-Haq, Bishr",www.newssite.com/6,2019-02-10,0
"al-Haq, Bishr",www.newssite.com/10,2019-02-07,0
"al-Haque, Ghaali",www.newssite.com/10,2018-12-11,0
"al-Hasan, Sabaah",www.newssite.com/9,2019-02-15,0
"al-Hasan, Sabaah",www.newssite.com/9,2018-12-08,0
"al-Hasan, Tawheed",www.newssite.com/10,2018-11-29,0
"al-Hasen, Haamid",www.newssite.com/8,2019-01-25,1
"al-Hasen, Haamid",www.newssite.com/4,2018-12-16,0
"al-Hasen, Haamid",www.newssite.com/8,2018-12-09,0
"al-Hasen, Haamid",www.newssite.com/10,2018-11-23,0
"al-Hashmi, Kaamil",www.newssite.com/1,2019-01-09,0
"al-Hashmi, Kaamil",www.newssite.com/7,2018-12-28,0
"al-Hassan, Khairiya",www.newssite.com/7,2018-12-14,0
"al-Hassan, Minnah",www.newssite.com/8,2019-02-13,0
"al-Hatem, Najiyya",www.newssite.com/3,2019-02-19,0
"al-Hatem, Najiyya",www.newssite.com/4,2019-01-14,0
"al-Hoda, Jaleela",www.newssite.com/5,2018-12-11,0
"al-Hoda, Naazim",www.newssite.com/9,2019-01-30,0
"al-Hoda, Nabeel",www.newssite.com/10,2019-01-18,0
"al-Hoque, Ghaaliba",www.newssite.com/7,2019-01-12,0
"al-Hoque, Ghaaliba",www.newssite.com/8,2018-12-12,0
"al-Hoque, Ghaaliba",www.newssite.com/8,2018-11-28,0
"al-Hosseini, Abdul Kader",www.newssite.com/9,2019-01-16,0
"al-Hosseini, Naaif",www.newssite.com/10,2019-02-16,0
"al-Hosseini, Naaif",www.newssite.com/5,2018-12-20,0
"al-Huq, Shaafi",www.newssite.com/9,2018-11-27,0
"al-Huq, Tawfeeqa",www.newssite.com/10,2018-12-31,0
"al-Husain, Farha",www.newssite.com/3,2018-12-09,0
"al-Husain, Saamiqa",www.newssite.com/10,2018-12-31,0
"al-Husain, Sumbula",www.newssite.com/7,2019-02-19,0
"al-Hussain, Miska",www.newssite.com/10,2019-02-08,1
"al-Hussain, Miska",www.newssite.com/5,2019-01-24,0
"al-Hussain, Miska",www.newssite.com/5,2018-12-22,0
"al-Hussain, Sanaaa",www.newssite.com/8,2019-02-01,0
"al-Hussain, Sanaaa",www.newssite.com/6,2018-12-05,0
"al-Ibrahim, Rifat",www.newssite.com/8,2018-12-21,0
"al-Idris, Mazeed",www.newssite.com/7,2018-12-23,0
"al-Idris, Taamir",www.newssite.com/8,2019-01-06,0
"al-Imam, Majdiyya",www.newssite.com/5,2019-02-05,0
"al-Imam, Majdiyya",www.newssite.com/8,2019-01-21,0
"al-Imam, Safar",www.newssite.com/7,2018-12-25,0
"al-Iman, Hasnaa",www.newssite.com/4,2019-01-30,0
"al-Iman, Hasnaa",www.newssite.com/10,2019-01-28,0
"al-Iman, Hasnaa",www.newssite.com/7,2019-01-21,0
"al-Iman, Hasnaa",www.newssite.com/10,2019-01-13,0
"al-Iman, Hazeela",www.newssite.com/6,2019-02-05,1
"al-Iman, Hazeela",www.newssite.com/5,2019-01-18,0
"al-Iman, Hazeela",www.newssite.com/5,2018-11-24,0
"al-Iman, Shahla",www.newssite.com/7,2018-12-15,0
"al-Iman, Shahla",www.newssite.com/4,2018-12-08,0
"al-Iqbal, Israa",www.newssite.com/10,2019-01-30,0
"al-Iqbal, Israa",www.newssite.com/2,2018-12-30,0
"al-Iqbal, Yaasmeen",www.newssite.com/1,2019-01-19,1
"al-Ishak, Farajallah",www.newssite.com/5,2019-01-07,1
"al-Ishak, Farajallah",www.newssite.com/10,2018-12-25,0
"al-Ishak, Farajallah",www.newssite.com/5,2018-12-22,0
"al-Ishak, Saamir",www.newssite.com/9,2019-02-20,0
"al-Ishak, Saamir",www.newssite.com/5,2019-02-15,0
"al-Ishak, Saamir",www.newssite.com/7,2018-11-24,0
"al-Jabara, Saleem",www.newssite.com/10,2019-01-22,0
"al-Jabbar, Zuhra",www.newssite.com/10,2019-02-13,0
"al-Jabbar, Zuhra",www.newssite.com/7,2019-02-02,0
"al-Jabbar, Zuhra",www.newssite.com/10,2019-01-08,0
"al-Jabbar, Zuhra",www.newssite.com/8,2019-01-03,0
"al-Jabbar, Zuhra",www.newssite.com/6,2018-12-22,0
"al-Jabbar, Zuhra",www.newssite.com/10,2018-12-12,0
"al-Jaber, Aabid",www.newssite.com/4,2018-12-02,0
"al-Jabour, Abeer",www.newssite.com/8,2019-02-21,1
"al-Jabour, Abeer",www.newssite.com/7,2019-02-15,0
"al-Jabour, Abeer",www.newssite.com/10,2018-12-20,0
"al-Jabour, Azeeza",www.newssite.com/10,2019-01-04,0
"al-Jabour, Intisaar",www.newssite.com/6,2018-12-15,0
"al-Jabour, Mahaa",www.newssite.com/9,2019-01-15,1
"al-Jabour, Mahaa",www.newssite.com/9,2019-01-09,0
"al-Jafari, Abdus Salam",www.newssite.com/9,2019-02-01,0
"al-Jaffer, Abdus Samad",www.newssite.com/8,2019-02-16,0
"al-Jalil, Raaniya",www.newssite.com/2,2019-01-11,0
"al-Jalil, Raaniya",www.newssite.com/3,2018-12-14,0
